선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
박건우,NC,0.346,102,431,381,50,132,18,1,10,182,59,0,3
이정후,키움,0.346,138,605,534,80,185,35,10,22,306,108,0,3
피렐라,삼성,0.342,132,591,523,95,179,27,4,26,292,102,0,2
이대호,롯데,0.335,136,565,519,51,174,22,0,21,259,94,0,6
문보경,LG,0.326,117,431,377,50,123,21,3,9,177,50,5,7
소크라테스,KIA,0.321,120,523,483,80,155,28,7,16,245,71,0,4
나성범,KIA,0.319,136,616,530,87,169,38,2,21,274,96,0,5
김혜성,키움,0.316,125,546,497,79,157,18,7,4,201,46,0,3
한동희,롯데,0.31,124,483,442,41,137,26,0,13,202,63,0,4
조용호,KT,0.309,123,497,443,49,137,17,3,2,166,39,2,2
전준우,롯데,0.306,114,494,448,70,137,30,1,11,202,67,0,9
최지훈,SSG,0.303,137,615,547,91,166,30,4,9,231,59,12,4
페르난데스,두산,0.303,131,526,485,50,147,24,0,6,189,72,0,5
채은성,LG,0.302,117,492,437,46,132,26,2,11,195,79,0,10
허경민,두산,0.294,112,459,401,56,118,23,0,6,159,57,2,6
박성한,SSG,0.293,133,534,464,65,136,22,4,2,172,55,6,2
마티니,NC,0.292,133,555,490,65,143,32,1,16,225,84,0,7
김선빈,KIA,0.29,132,560,482,49,140,21,0,3,170,57,7,2
박해민,LG,0.29,133,593,531,94,154,18,8,3,197,46,7,5
안치홍,롯데,0.289,128,548,481,71,139,27,3,14,214,58,7,5
터크먼,한화,0.289,137,616,551,83,159,34,4,12,237,41,0,2
양의지,NC,0.286,121,489,409,60,117,24,0,20,201,90,0,9
홍창기,LG,0.284,107,481,402,69,114,17,4,1,142,47,5,5
푸이그,키움,0.284,122,526,455,65,129,30,0,21,222,73,0,4
노시환,한화,0.283,108,456,400,53,113,20,1,6,153,59,0,4
노진혁,NC,0.277,105,415,361,47,100,24,0,13,163,67,3,5
류지혁,KIA,0.276,120,444,384,52,106,17,2,2,133,46,6,2
손아섭,NC,0.276,128,573,511,66,141,28,3,4,187,43,1,6
정은원,한화,0.275,133,566,476,65,131,20,2,8,179,49,4,3
김현수,LG,0.274,131,568,492,76,135,23,2,23,231,101,0,2
